date,year,month,day,quarter,day_of_week,is_weekend,time_id
2020-04-03 07:59:29.070,2020,4,3,2,4,False,93
2020-04-04 07:59:29.070,2020,4,4,2,5,True,94
2020-04-05 07:59:29.070,2020,4,5,2,6,True,95
2020-04-06 07:59:29.070,2020,4,6,2,0,False,96
2020-04-07 07:59:29.070,2020,4,7,2,1,False,97
2020-04-08 07:59:29.070,2020,4,8,2,2,False,98
2020-04-09 07:59:29.070,2020,4,9,2,3,False,99
2020-04-10 07:59:29.070,2020,4,10,2,4,False,100
2020-04-11 07:59:29.070,2020,4,11,2,5,True,101
2020-04-12 07:59:29.070,2020,4,12,2,6,True,102
2020-04-13 07:59:29.070,2020,4,13,2,0,False,103
2020-04-14 07:59:29.070,2020,4,14,2,1,False,104
2020-04-15 07:59:29.070,2020,4,15,2,2,False,105
2020-04-16 07:59:29.070,2020,4,16,2,3,False,106
2020-04-17 07:59:29.070,2020,4,17,2,4,False,107
2020-04-18 07:59:29.070,2020,4,18,2,5,True,108
2020-04-19 07:59:29.070,2020,4,19,2,6,True,109
2020-04-20 07:59:29.070,2020,4,20,2,0,False,110
2020-04-21 07:59:29.070,2020,4,21,2,1,False,111
2020-04-22 07:59:29.070,2020,4,22,2,2,False,112
2020-04-23 07:59:29.070,2020,4,23,2,3,False,113
2020-04-24 07:59:29.070,2020,4,24,2,4,False,114
2020-04-25 07:59:29.070,2020,4,25,2,5,True,115
2020-04-26 07:59:29.070,2020,4,26,2,6,True,116
2020-04-27 07:59:29.070,2020,4,27,2,0,False,117
2020-04-28 07:59:29.070,2020,4,28,2,1,False,118
2020-04-29 07:59:29.070,2020,4,29,2,2,False,119
2020-04-30 07:59:29.070,2020,4,30,2,3,False,120
2020-05-01 07:59:29.070,2020,5,1,2,4,False,121
2020-05-02 07:59:29.070,2020,5,2,2,5,True,122
2020-05-03 07:59:29.070,2020,5,3,2,6,True,123
2020-05-04 07:59:29.070,2020,5,4,2,0,False,124
2020-05-05 07:59:29.070,2020,5,5,2,1,False,125
2020-05-06 07:59:29.070,2020,5,6,2,2,False,126
2020-05-07 07:59:29.070,2020,5,7,2,3,False,127
2020-05-08 07:59:29.070,2020,5,8,2,4,False,128
2020-05-09 07:59:29.070,2020,5,9,2,5,True,129
2020-05-10 07:59:29.070,2020,5,10,2,6,True,130
2020-05-11 07:59:29.070,2020,5,11,2,0,False,131
2020-05-12 07:59:29.070,2020,5,12,2,1,False,132
2020-05-13 07:59:29.070,2020,5,13,2,2,False,133
2020-05-14 07:59:29.070,2020,5,14,2,3,False,134
2020-05-15 07:59:29.070,2020,5,15,2,4,False,135
2020-05-16 07:59:29.070,2020,5,16,2,5,True,136
2020-05-17 07:59:29.070,2020,5,17,2,6,True,137
2020-05-18 07:59:29.070,2020,5,18,2,0,False,138
2020-05-19 07:59:29.070,2020,5,19,2,1,False,139
2020-05-20 07:59:29.070,2020,5,20,2,2,False,140
2020-05-21 07:59:29.070,2020,5,21,2,3,False,141
2020-05-22 07:59:29.070,2020,5,22,2,4,False,142
2020-05-23 07:59:29.070,2020,5,23,2,5,True,143
2020-05-24 07:59:29.070,2020,5,24,2,6,True,144
2020-05-25 07:59:29.070,2020,5,25,2,0,False,145
2020-05-26 07:59:29.070,2020,5,26,2,1,False,146
2020-05-27 07:59:29.070,2020,5,27,2,2,False,147
2020-05-28 07:59:29.070,2020,5,28,2,3,False,148
2020-05-29 07:59:29.070,2020,5,29,2,4,False,149
2020-05-30 07:59:29.070,2020,5,30,2,5,True,150
2020-05-31 07:59:29.070,2020,5,31,2,6,True,151
2020-06-01 07:59:29.070,2020,6,1,2,0,False,152
2020-06-02 07:59:29.070,2020,6,2,2,1,False,153
2020-06-03 07:59:29.070,2020,6,3,2,2,False,154
2020-06-04 07:59:29.070,2020,6,4,2,3,False,155
2020-06-05 07:59:29.070,2020,6,5,2,4,False,156
2020-06-06 07:59:29.070,2020,6,6,2,5,True,157
2020-06-07 07:59:29.070,2020,6,7,2,6,True,158
2020-06-08 07:59:29.070,2020,6,8,2,0,False,159
2020-06-09 07:59:29.070,2020,6,9,2,1,False,160
2020-06-10 07:59:29.070,2020,6,10,2,2,False,161
2020-06-11 07:59:29.070,2020,6,11,2,3,False,162
2020-06-12 07:59:29.070,2020,6,12,2,4,False,163
2020-06-13 07:59:29.070,2020,6,13,2,5,True,164
2020-06-14 07:59:29.070,2020,6,14,2,6,True,165
2020-06-15 07:59:29.070,2020,6,15,2,0,False,166
2020-06-16 07:59:29.070,2020,6,16,2,1,False,167
2020-06-17 07:59:29.070,2020,6,17,2,2,False,168
2020-06-18 07:59:29.070,2020,6,18,2,3,False,169
2020-06-19 07:59:29.070,2020,6,19,2,4,False,170
2020-06-20 07:59:29.070,2020,6,20,2,5,True,171
2020-06-21 07:59:29.070,2020,6,21,2,6,True,172
2020-06-22 07:59:29.070,2020,6,22,2,0,False,173
2020-06-23 07:59:29.070,2020,6,23,2,1,False,174
2020-06-24 07:59:29.070,2020,6,24,2,2,False,175
2020-06-25 07:59:29.070,2020,6,25,2,3,False,176
2020-06-26 07:59:29.070,2020,6,26,2,4,False,177
2020-06-27 07:59:29.070,2020,6,27,2,5,True,178
2020-06-28 07:59:29.070,2020,6,28,2,6,True,179
2020-06-29 07:59:29.070,2020,6,29,2,0,False,180
2020-06-30 07:59:29.070,2020,6,30,2,1,False,181
2020-07-01 07:59:29.070,2020,7,1,3,2,False,182
2020-07-02 07:59:29.070,2020,7,2,3,3,False,183
2020-07-03 07:59:29.070,2020,7,3,3,4,False,184
2020-07-04 07:59:29.070,2020,7,4,3,5,True,185
2020-07-05 07:59:29.070,2020,7,5,3,6,True,186
2020-07-06 07:59:29.070,2020,7,6,3,0,False,187
2020-07-07 07:59:29.070,2020,7,7,3,1,False,188
2020-07-08 07:59:29.070,2020,7,8,3,2,False,189
2020-07-09 07:59:29.070,2020,7,9,3,3,False,190
2020-07-10 07:59:29.070,2020,7,10,3,4,False,191
2020-07-11 07:59:29.070,2020,7,11,3,5,True,192
2020-07-12 07:59:29.070,2020,7,12,3,6,True,193
